"Var1","Taxa.Level","Taxa","r","pval","fdr"
"TILs","TILs",NA,1,NA,NA
"DDX58","DDX58",NA,1,NA,NA
"MB21D1","MB21D1",NA,1,NA,NA
"DDX58","TILs",NA,0.462003632828268,0,0
"MB21D1","DDX58",NA,0.30950893884088,4.08206801694178e-12,1.55164278817266e-11
"TILs","genus","Ipomoea",0.3040515583835,1.00448538375986e-11,3.71799232412048e-11
"TILs","family","Peptoniphilaceae",0.275998136692949,7.70337349464967e-10,2.47122671286395e-09
"TILs","phylum","Firmicutes",0.253609933202835,1.75872658658704e-08,5.06742869590087e-08
"TILs","order","Frankiales",0.246288147648171,4.59635223215571e-08,1.27732480885007e-07
"DDX58","family","Peptoniphilaceae",0.234911922115635,1.92671182341897e-07,5.07381793161461e-07
"TILs","genus","Cnuibacter",0.233355878736815,2.33094639812137e-07,6.0933606432693e-07
"TILs","species","Lachancea thermotolerans",0.204617031903064,6.20891000213675e-06,1.43289790921168e-05
"DDX58","genus","Simplicispira",0.202732045835816,7.58320733051931e-06,1.73656828279012e-05
"TILs","species","Vigna radiata",0.201649855251108,8.49851432893622e-06,1.93723684080859e-05
"DDX58","species","Klebsiella sp. LY",0.199316403850122,1.084309515198e-05,2.44748612036853e-05
"DDX58","species","Neurospora crassa",0.197246647812442,1.34269735516668e-05,3.00733274808567e-05
"TILs","genus","Marinobacter",0.193102073642411,2.04626609929814e-05,4.50272867497418e-05
"DDX58","genus","Klebsiella",0.19256758585973,2.15913582550797e-05,4.73968773669378e-05
"DDX58","species","Kluyveromyces marxianus",0.192246682957559,2.22971422039198e-05,4.88803676081345e-05
"DDX58","genus","Kluyveromyces",0.192011272049881,2.28287575354535e-05,4.99968656768198e-05
"MB21D1","species","Bacillus megaterium",0.184924635765689,4.57893309793178e-05,9.7560725545514e-05
"DDX58","species","Tetrapisispora blattae",0.180671819115141,6.86817158044306e-05,0.000143873333438776
"TILs","family","Sordariaceae",0.179786098565969,7.46470043218039e-05,0.000155820786153355
"TILs","genus","Moorella",0.179784782183211,7.46562230200531e-05,0.00015583771563694
"MB21D1","order","Eurotiales",0.179134132526617,7.93464983268599e-05,0.000165192839757363
"DDX58","genus","Actinosynnema",0.176375662838451,0.000102491246339653,0.00021106294308746
"MB21D1","phylum","Firmicutes",0.175503799929687,0.00011103900070264,0.000227902727088993
"TILs","genus","Nakaseomyces",0.175187225555198,0.000114305324133479,0.000234286896516456
"DDX58","species","Plasmodium cynomolgi",0.174249251248085,0.000124521418676471,0.000254344758391959
"TILs","genus","Hirschia",0.17335975967959,0.000134996825790434,0.000274712812516456
"TILs","species","Mycobacterium haemophilum",0.173067797724145,0.000138611882811723,0.000281667696777412
"TILs","genus","Ottowia",0.17167653940423,0.000157121884397649,0.000317606615861682
"TILs","species","Nocardia cyriacigeorgica",0.171021367230597,0.000166619873341212,0.000335897875442617
"DDX58","family","Alteromonadaceae",0.170974921528382,0.000167313234525679,0.000337236418535588
"TILs","species","Ottowia sp. oral taxon 894",0.170918534895436,0.000168158634548776,0.000338840814580567
"TILs","species","Microbacterium sp. SGAir0570",0.167388491097274,0.000229819780299678,0.000456946620333348
"DDX58","genus","Corynebacterium",0.167025728032406,0.000237234227127292,0.00047108732847837
"TILs","order","Caulobacterales",0.164948989752644,0.000284170048733934,0.000559516467160435
"TILs","genus","Klebsiella",0.163835148132649,0.000312786146811739,0.000613302534734981
"TILs","species","Vibrio casei",0.162465553304089,0.000351658566795976,0.000685839704041831
"DDX58","genus","Moorella",0.161880249911033,0.000369607094532043,0.000719315427154157
"TILs","genus","Cutibacterium",0.159877332524583,0.000437692790632216,0.000845741828589836
"TILs","genus","Rhodopseudomonas",0.158190463622919,0.000503907397826353,0.000967823429023178
"TILs","family","Bradyrhizobiaceae",0.15779254477102,0.000520828804386753,0.000998839298988475
"TILs","species","Streptomyces griseoviridis",0.157677756613446,0.000525807372386167,0.00100789903093098
"DDX58","species","Leishmania donovani",0.157545465208117,0.000531599909656677,0.00101850256622478
"TILs","family","Bartonellaceae",0.156601455052669,0.00057468699955221,0.0010975463434503
"TILs","species","Cicer arietinum",0.155782006765784,0.000614694196883203,0.00116999897688283
"TILs","genus","Cellulosimicrobium",0.153195415935711,0.000758556013389811,0.00143020074705363
"TILs","order","Glomerellales",0.152409502756502,0.000808087107859068,0.00151938511736946
"TILs","species","Colletotrichum higginsianum",0.152409502756502,0.000808087107859068,0.00151938511736946
"TILs","genus","Tetrapisispora",0.148679485776909,0.00108660081740775,0.00201416853510754
"TILs","order","Thalassiosirales",0.148398973085821,0.0011107709829512,0.00205710661720915
"TILs","species","Thalassiosira pseudonana",0.148398973085821,0.0011107709829512,0.00205710661720915
"TILs","species","Cannabis sativa",0.147694325930234,0.00117368886631253,0.00216832946821272
"TILs","genus","Bradyrhizobium",0.146891065684398,0.00124940694416353,0.00230203574360165
"MB21D1","family","Rhamnaceae",0.146185099560854,0.00131963947170455,0.00242510642009575
"TILs","species","Ndongobacter massiliensis",0.144204790275645,0.00153648252784677,0.00280228013350915
"TILs","species","Rhodococcus ruber",0.140434300187951,0.00204212818783134,0.00367594317425062
"DDX58","species","Lactobacillus fermentum",0.140159374879839,0.00208438151969625,0.00374828196443559
"DDX58","species","Plasmodium falciparum",0.139558311366259,0.00217955695058492,0.00391057917011498
"DDX58","family","Frankiaceae",0.139105116309189,0.00225392596149998,0.00403745563698832
"DDX58","species","Moraxella osloensis",0.138858099109649,0.00229543032690582,0.00410893588163617
"TILs","species","Actinoplanes sp. OR16",0.138677423405835,0.00232622844997854,0.00416148288071857
"MB21D1","genus","Pyricularia",0.137349771483383,0.00256436729268517,0.00456519126261393
"TILs","family","Lythraceae",0.137303560249123,0.00257304278951542,0.00458007024686687
"DDX58","species","Nonomuraea sp. ATCC 55076",0.136999356020733,0.00263082373239287,0.00467720665143783
"TILs","order","Pseudonocardiales",0.136880755717864,0.00265366937657197,0.00471592921080102
"MB21D1","species","Pyricularia grisea",0.136730953693375,0.00268278362562091,0.00476531982713873
"DDX58","species","Citrobacter farmeri",0.135574138450529,0.00291759856521057,0.00515813513704443
"TILs","species","Phaseolus vulgaris",0.134792794239558,0.00308661966925694,0.0054417445404228
"TILs","genus","Vibrio",0.134433705907302,0.00316724340209351,0.00557610551587873
"MB21D1","order","Solanales",0.133922022230999,0.00328543614670473,0.00577276786239239
"MB21D1","genus","Nicotiana",0.133493743462428,0.00338742707981221,0.005943783572668
"DDX58","genus","Leuconostoc",0.133339957539053,0.00342474542914406,0.00600547928517706
"TILs","species","Pichia kudriavzevii",0.132823423323124,0.00355283688740959,0.00621770504357675
"MB21D1","species","Actinosynnema pretiosum",0.132573307898181,0.00361640917758366,0.00632301800202915
"TILs","phylum","Bacillariophyta",0.132487120169792,0.00363855345518305,0.00635926402955463
"MB21D1","genus","Solanum",0.132105608097257,0.00373805934700155,0.00652403005800608
"TILs","species","Leishmania mexicana",0.131612374650855,0.00387035731568686,0.00674429596482915
"TILs","class","Sordariomycetes",0.130905516082969,0.00406735266158753,0.00706951902979491
"TILs","genus","Citrobacter",0.130724562128412,0.00411922029491252,0.00715367865484298
"DDX58","species","Sphingomonas sp. LK11",0.130012299438631,0.00432924214898911,0.00749799107323796
"DDX58","species","Plantibacter flavus",0.129797562808858,0.00439443281051743,0.00760426939005206
"MB21D1","order","Cucurbitales",0.129182042054817,0.00458623928801427,0.00791727150966278
"DDX58","species","Cutibacterium acnes",0.128834497729492,0.00469784830775355,0.00809890411545305
"DDX58","order","Synechococcales",0.128131748456128,0.00493104609837824,0.0084777183194866
"DDX58","species","Chamaesiphon minutus",0.128131748456128,0.00493104609837824,0.0084777183194866
"DDX58","genus","Symbiobacterium",0.12800591360614,0.00497388770239637,0.00854633093579496
"TILs","genus","Microbacterium",0.127562692918621,0.0051274714777132,0.00879850304101671
"TILs","order","Rhodocyclales",0.126975040016504,0.00533768854452998,0.00913719881534853
"MB21D1","family","Malvaceae",0.126168624863823,0.00563878891920333,0.00962243175261647
"MB21D1","genus","Gossypium",0.125563804530402,0.0058745496138588,0.0100038928708908
"TILs","family","Anaeromyxobacteraceae",0.124708675851381,0.00622299822826511,0.0105628862739603
"TILs","family","Labilitrichaceae",0.124375508106608,0.00636370362283811,0.0107884974742854
"TILs","order","Fabales",0.124132266199072,0.00646822647185252,0.0109566130532993
"MB21D1","species","Bradyrhizobium sp. SK17",0.124078120588224,0.00649170169985624,0.0109942915992945
"MB21D1","species","Phaseolus vulgaris",0.123467875294598,0.00676160962054961,0.0114238807871902
"DDX58","genus","Vigna",0.123237188529464,0.00686623154522947,0.0115896382555272
"MB21D1","class","Negativicutes",0.123096369987527,0.00693080650663225,0.0116911958257825
"MB21D1","genus","Acidaminococcus",0.123096369987527,0.00693080650663225,0.0116911958257825
"TILs","genus","Haematobacter",0.123065297800827,0.00694512826364702,0.0117141245317043
"DDX58","genus","Debaryomyces",0.122866078754882,0.00703758335582583,0.0118617757650138
"TILs","family","Propionibacteriaceae",0.122706021470355,0.0071126604857441,0.0119817714928397
"TILs","order","Malasseziales",0.122556837065915,0.00718328210355179,0.0120943717297935
"TILs","species","Malassezia restricta",0.122556837065915,0.00718328210355179,0.0120943717297935
"TILs","order","Funariales",0.122518652424707,0.00720145868113553,0.0121226523420394
"TILs","species","Physcomitrella patens",0.122518652424707,0.00720145868113553,0.0121226523420394
"TILs","family","Salicaceae",0.122018975776805,0.00744313513933803,0.01250231107479
"TILs","species","Leishmania infantum",0.121460179654388,0.00772197288716825,0.0129472782271055
"DDX58","order","Oceanospirillales",0.120711444638102,0.0081102068986465,0.0135638460392522
"TILs","species","Streptomyces lunaelactis",0.120655583744966,0.00813985836931996,0.0136109670610231
"MB21D1","order","Apiales",0.120621942803571,0.00815776191872253,0.0136384068811754
"MB21D1","species","Daucus carota",0.120621942803571,0.00815776191872253,0.0136384068811754
"DDX58","species","Cryptococcus gattii VGI",0.120107703355191,0.00843584508235473,0.0140769312824881
"TILs","genus","Cupriavidus",0.120043195845212,0.00847131850544391,0.014132980484738
"DDX58","species","Theileria annulata",0.119480781905684,0.00878627392219222,0.0146306941506259
"DDX58","family","Pichiaceae",0.119449897045058,0.00880386790371634,0.014658922383085
"DDX58","species","Plasmodium sp. gorilla clade G2",0.119196289537236,0.00894952963697504,0.0148859694292413
"DDX58","species","Pseudomonas frederiksbergensis",0.118800595627628,0.00918108766322812,0.0152460068146432
"TILs","genus","Agromyces",0.118746880473503,0.0092129289897438,0.0152948623319496
"DDX58","family","Bartonellaceae",0.118625933190551,0.00928498416407231,0.0154066160462172
"TILs","genus","Moraxella",0.118579053768243,0.00931304742803452,0.0154494889319794
"DDX58","family","Dipodascaceae",0.118485097898061,0.00936951911740946,0.0155371199891859
"DDX58","family","Phaffomycetaceae",0.11819251971109,0.00954732732867392,0.0158172332443587
"TILs","phylum","Basidiomycota",0.118102847462755,0.00960242104921116,0.0159030483621388
"DDX58","genus","Glycine",0.117943600270703,0.00970095771254553,0.0160577993885998
"DDX58","order","Geodermatophilales",0.116976284752605,0.0103190338915669,0.0170145768370698
"TILs","species","Escherichia coli",0.116874133908646,0.0103863014142029,0.017119969263787
"TILs","family","Enterobacteriaceae",0.11683223011734,0.0104140078674841,0.0171616643343015
"DDX58","genus","Cicer",0.116747657548168,0.0104701263249289,0.0172466639413477
"DDX58","order","Tremellales",0.116491261600589,0.0106419013539809,0.0175134561184216
"TILs","species","Streptomyces sp. CMB-StM0423",0.115493759894657,0.0113341903171411,0.0185854240946131
"DDX58","order","Methanosarcinales",0.115448255488601,0.0113667009892808,0.0186361255209539
"DDX58","species","Methanothrix soehngenii",0.115448255488601,0.0113667009892808,0.0186361255209539
"TILs","family","Rubiaceae",0.114638000688817,0.0119595673488222,0.0195480226117708
"TILs","species","Vigna angularis",0.114507549945963,0.0120575308052073,0.0197016164396113
"TILs","species","Klebsiella pneumoniae",0.113738260384822,0.0126497859783608,0.0206162068103177
"MB21D1","genus","Cucurbita",0.112981251119523,0.0132574984030849,0.0215418307505793
"DDX58","family","Labilitrichaceae",0.112737819286231,0.0134583147532286,0.0218485619619297
"DDX58","order","Caulobacterales",0.112458402518357,0.0136921153263603,0.022203889144667
"MB21D1","species","Microbacterium sp. SGAir0570",0.112342589326308,0.0137900649959521,0.022352738252768
"TILs","phylum","Chlorophyta",0.111570857728679,0.014458653560506,0.0233714629823226
"DDX58","family","Malasseziaceae",0.111540536887812,0.0144854940140551,0.0234129643757271
"DDX58","species","Fusarium pseudograminearum",0.111317096360241,0.0146846410515313,0.0237153513743875
"DDX58","species","Stenotrophomonas maltophilia",0.111034156347782,0.0149402677717527,0.0240998742881353
"TILs","family","Euphorbiaceae",0.109356107334398,0.0165381503777251,0.0264934737082329
"TILs","family","Vitaceae",0.108725283107606,0.0171764504697411,0.0274523354313611
"DDX58","species","Rhodospirillum centenum",0.108003105445354,0.0179335431584851,0.0285706940958297
"MB21D1","class","Sordariomycetes",0.107616678023776,0.0183504986444512,0.0291768084772424
"MB21D1","species","Capsicum annuum",0.107031172010295,0.0189983769853475,0.0301308002746186
"DDX58","genus","Desulfovibrio",0.106924179535809,0.0191188975058583,0.0303075815525698
"TILs","family","Dipodascaceae",0.106735672017137,0.0193328613264425,0.0306248321343212
"DDX58","phylum","Balneolaeota",0.106675803856083,0.0194012491775117,0.0307273646336206
"TILs","species","Solanum lycopersicum",0.106320857056908,0.019811051350481,0.0313241739868914
"DDX58","order","Natrialbales",0.106235520981421,0.0199106918900924,0.0314718268585271
"DDX58","species","Natronolimnobius sulfurireducens",0.106235520981421,0.0199106918900924,0.0314718268585271
"TILs","genus","Corynebacterium",0.10615237710683,0.0200081919334285,0.0316182792224841
"TILs","species","Lactobacillus fermentum",0.106071115101387,0.0201038863331848,0.0317603088140398
"TILs","species","Cryobacterium arcticum",0.105837497471391,0.0203812162286248,0.0321706721394001
"DDX58","species","Streptomyces sp. SYP-A7193",0.105687390482541,0.0205611600582585,0.032434874830802
"MB21D1","order","Caulobacterales",0.105540797115473,0.0207382231890574,0.0326977699435378
"TILs","family","Cryptococcaceae",0.104836218237944,0.0216078611766233,0.0339794585866271
"MB21D1","genus","Paracoccus",0.104622207359457,0.0218781974967985,0.0343763130569169
"TILs","species","Rhizobium sp. WL3",0.10440919955369,0.0221501749642186,0.0347652894038993
"TILs","phylum","Cyanobacteria",0.104318008726268,0.0222675044762002,0.0349367645771648
"TILs","genus","Chamaesiphon",0.104318008726268,0.0222675044762002,0.0349367645771648
"DDX58","genus","Cryobacterium",0.103879796889262,0.0228388687932446,0.0357805996275258
"DDX58","genus","Lysobacter",0.103724270326833,0.0230446835832718,0.0360714846148828
"DDX58","species","Brevibacillus laterosporus",0.103697804456523,0.0230798663794727,0.0361210257027961
"DDX58","species","Lysobacter enzymogenes",0.103674594562183,0.0231107590582063,0.0361655492820281
"MB21D1","genus","Elaeis",0.103313382436556,0.0235961706756367,0.0368747749830638
"TILs","family","Streptomycetaceae",0.103002183169198,0.0240214203695501,0.0374893227215329
"MB21D1","genus","Ipomoea",0.102714530010981,0.0244203704018444,0.0380568148168541
"TILs","species","Hungatella hathewayi",0.102696907867854,0.0244449957830972,0.0380906519582938
"DDX58","genus","Rhodoferax",0.102368557959552,0.0249077748166906,0.0387608522741401
"TILs","species","Rathayibacter rathayi",0.102335637639059,0.0249545874443369,0.038828859532008
"TILs","species","Oryza brachyantha",0.102303021188407,0.0250010428464402,0.0388969516869802
"MB21D1","species","Panicum hallii",0.102251311854652,0.0250748450948852,0.0390038965403731
"MB21D1","phylum","Ascomycota",0.10197320734899,0.0254750034444755,0.0395824363020069
"TILs","genus","Micromonospora",0.101405085007438,0.0263096078844622,0.0407833263085531
"TILs","genus","Bigelowiella",0.101171908368309,0.0266589152894214,0.0412856481276879
"TILs","order","Magnaporthales",0.100621530475393,0.027499272845011,0.0425063046120089
"TILs","genus","Debaryomyces",0.100592194690388,0.0275446972927749,0.0425697314277558
"DDX58","order","Gentianales",0.100434858978034,0.0277894233178699,0.0429190508495957
"TILs","species","Leuconostoc citreum",0.100252302808509,0.0280757183677882,0.043329798524987
"DDX58","genus","Solanum",0.0997659495049892,0.0288508443164177,0.0444524992244536
"TILs","genus","Brachypodium",0.0996290131467585,0.0290723729068614,0.0447722329517897
"TILs","species","Pyricularia grisea",0.0987126680237327,0.0305926753388124,0.0469512673770128
"DDX58","family","Paenibacillaceae",0.0986388904796811,0.0307179871987304,0.047132395090376
"DDX58","order","Glomerellales",0.0982371066706887,0.031408159352055,0.0481150124403823
"DDX58","species","Colletotrichum higginsianum",0.0982371066706887,0.031408159352055,0.0481150124403823
"MB21D1","domain","Bacteria",0.0973265942994544,0.0330214353014746,0.0503779065611073
"MB21D1","kingdom","Eubacteria",0.0973210604212692,0.033031452634416,0.050391001738729
"TILs","class","Actinobacteria",0.0971531994496504,0.0333365463562085,0.050815354852271
"TILs","genus","Helianthus",0.0970266798032978,0.0335680862246024,0.0511511009283249
"MB21D1","species","Clostridium saccharobutylicum",0.0967594418244803,0.0340616606808255,0.0518408380828164
"DDX58","family","Enterobacteriaceae",0.0966128439931595,0.0343350363410719,0.052231320432172
"TILs","family","Nocardiaceae",0.0963541554207761,0.0348219983298463,0.0529156987456357
"MB21D1","genus","Cynara",0.0962016979240361,0.0351117324050421,0.0533182302580724
"DDX58","species","Streptomyces roseochromogenus",0.095734530319364,0.0360123552533191,0.0545881197644018
"TILs","species","Bacillus thuringiensis",0.0957342741275025,0.0360128544859886,0.0545887293601364
"TILs","species","Streptomyces rimosus",0.0955289623669619,0.0364148346130815,0.0551343271131804
"DDX58","species","Micromonas commoda",0.0950544162335892,0.0373585573837887,0.0564531051695135
"TILs","species","Plasmodium sp. gorilla clade G2",0.094681295121984,0.038115076384531,0.0575153048635415
"MB21D1","species","Cicer arietinum",0.09455971110579,0.0383643816393764,0.0578524986285494
"DDX58","genus","Hirschia",0.0943371792241304,0.0388242578513107,0.0584900241855633
"DDX58","order","Rhodocyclales",0.0942226304203982,0.0390627947365512,0.058821022234315
"TILs","species","Komagataella phaffii",0.0941116794079863,0.0392950213977801,0.0591380885772231
"MB21D1","family","Schizosaccharomycetaceae",0.0940265205512454,0.0394740553273776,0.0593805138135618
"TILs","family","Sclerotiniaceae",0.0937743124798037,0.0400083398852407,0.0601263299659449
"TILs","genus","Panicum",0.0936169427818697,0.0403448048358543,0.0605976513822414
"MB21D1","species","Cannabis sativa",0.0926704325973637,0.0424193399648516,0.0634460045600556
"TILs","species","Lelliottia nimipressuralis",0.0924233442371686,0.0429754735359649,0.0642228016515962
"TILs","species","Symbiobacterium thermophilum",0.0919589474691998,0.0440373437495709,0.0656888644834401
"DDX58","species","Plasmodium yoelii",0.0918453856902493,0.0443003431757836,0.0660529612853437
"TILs","family","Musaceae",0.0916842111859267,0.0446758772108602,0.0665680597142611
"DDX58","genus","Phaeobacter",0.0911749052374532,0.0458801902188919,0.0682222352356976
"TILs","species","Brassica napus",0.0910024566078846,0.0462940938235243,0.0687958755269377
"TILs","order","Actinomycetales",0.090919681444136,0.0464938776192336,0.0690673748266339
"TILs","species","Schaalia odontolytica",0.090919681444136,0.0464938776192336,0.0690673748266339
"DDX58","species","Pseudomonas parafulva",0.0906545544813665,0.0471386564344818,0.0699446423613037
"TILs","genus","Salinicola",0.0898335206257028,0.0491831182293565,0.0727461561650294
"TILs","species","Fusarium oxysporum",0.0895794470216852,0.0498306219745892,0.0736151891000033
"TILs","family","Mamiellaceae",0.0890609745857936,0.0511740640025571,0.0754603038438751
"MB21D1","genus","Punica",0.0884876512738618,0.0526946938695316,0.0775065192083137
"MB21D1","genus","Microvirga",0.0883405921843489,0.0530907505501279,0.078039611865592
"MB21D1","order","Piroplasmida",0.0882369073827742,0.0533714801248768,0.0784159829923784
"DDX58","species","Micromonospora echinaurantiaca",0.0881058711097121,0.0537280315005264,0.0789047982222417
"TILs","order","Schizosaccharomycetales",0.0876849079662996,0.0548869167594759,0.0804898565462176
"TILs","species","Schizosaccharomyces pombe",0.0876849079662996,0.0548869167594759,0.0804898565462176
"DDX58","genus","Camelina",0.0876308056892608,0.0550373526517538,0.0806858471767282
"TILs","family","Rutaceae",0.087336316563874,0.055862225049788,0.0818078961736716
"MB21D1","species","Plasmodium malariae",0.0871927541547275,0.056268054228459,0.08236660827198
"TILs","species","Cucurbita pepo",0.0869229220227313,0.0570374507689766,0.0833901932560595
"TILs","genus","Arabidopsis",0.0868825209298522,0.0571533974874392,0.0835527588523556
"TILs","species","Vigna unguiculata",0.0868660454255444,0.0572007364490994,0.0836195725846565
"DDX58","genus","Agromyces",0.0866679524167977,0.0577724654092013,0.0843864774457861
"TILs","order","Piroplasmida",0.0864210759520333,0.0584916111665308,0.0853577578834043
"TILs","species","Phaeobacter inhibens",0.0853488288731448,0.0617015672270875,0.0896862288559327
"DDX58","class","Negativicutes",0.085343252840695,0.0617186324851877,0.0897061413638808
"DDX58","genus","Acidaminococcus",0.085343252840695,0.0617186324851877,0.0897061413638808
"TILs","genus","Desulfovibrio",0.0848632881462616,0.0632022098336282,0.091678142152637
"DDX58","species","Saccharomyces eubayanus",0.0848079334418007,0.0633751860075704,0.0918892318559927
"DDX58","family","Actinomycetaceae",0.0848062809395712,0.0633803558482753,0.0918955430066616
"TILs","genus","Labrys",0.0846991599509053,0.0637162249151184,0.0923427595359828
"TILs","species","Actinoalloteichus hoggarensis",0.0844226025430019,0.0645901287162129,0.0934905034015223
"TILs","genus","Fusarium",0.084377023329041,0.0647350982502641,0.0936856284719761
"DDX58","species","Vigna unguiculata",0.0842535123850364,0.0651292836671864,0.0942126981974253
"DDX58","species","Prunus mume",0.0840197940743286,0.0658805965527072,0.0952282236832219
"MB21D1","species","Lachancea thermotolerans",0.0833799469998776,0.0679739497082978,0.0979931374164042
"TILs","class","Ustilaginomycetes",0.0832708872210065,0.0683361366914896,0.0984610266795689
"TILs","family","Rhamnaceae",0.0828956961027518,0.0695942420513516,0.100121343479978
"MB21D1","species","Trypanosoma brucei",0.0828477876493078,0.069756246831008,0.100321045205255
"MB21D1","species","Zea mays",0.0822935429407246,0.0716529842682716,0.10281116954083
"MB21D1","species","Plasmodium yoelii",0.0817447802244113,0.0735722555897458,0.105279476618644
"MB21D1","species","Altererythrobacter ishigakiensis",0.0810555090890246,0.0760421098043165,0.108513872593023
"TILs","order","Hypocreales",0.0806325254076855,0.0775908807777128,0.110522905421395
"DDX58","family","Vibrionaceae",0.0805830889368026,0.0777735542720086,0.110759543973364
"MB21D1","family","Theileriidae",0.0804986903882607,0.0780862234306718,0.111169913696968
"MB21D1","species","Citrobacter farmeri",0.0801122382044752,0.0795309575093213,0.113049017037787
"DDX58","genus","Cucurbita",0.0798368832590697,0.0805735177687241,0.114396786023831
"TILs","species","Bacillus albus",0.0787139992704988,0.0849401325635437,0.119989611763875
"DDX58","family","Schizosaccharomycetaceae",0.0784636263133931,0.0859393286341783,0.121287464915666
"DDX58","species","Bathycoccus prasinos",0.0784610353683048,0.0859497179365949,0.121300605315324
"MB21D1","species","Escherichia coli",0.0784564872118706,0.0859679578103913,0.121325738210012
"DDX58","genus","Cucumis",0.077745788274001,0.0888566637281851,0.125031907314899
