"Taxon","Prevalence","Ref","Reference"
"c__Actinobacteria",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Alphaproteobacteria",0.46,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Bacilli",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Bacteroidia",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Betaproteobacteria",0.92,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Clostridia",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Cyanobacteria",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Cytophagia",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Deltaproteobacteria",0.86,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Elusimicrobia",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Epsilonproteobacteria",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Erysipelotrichia",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Flavobacteriia",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Fusobacteriia",0.92,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Gammaproteobacteria",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Lentisphaeria",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Mollicutes",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Negativicutes",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Opitutae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Sphingobacteriia",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Synergistia",0.3,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Thermomicrobia",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"c__Verrucomicrobiae",0.54,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"d__Bacteria",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Acidaminococcaceae",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Actinomycetaceae",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Aerococcaceae",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Aeromonadaceae",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Alcaligenaceae",0.88,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Bacillaceae",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Bacteroidaceae",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Bacteroidales S24-7 group",0.32,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Bifidobacteriaceae",0.78,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Bradyrhizobiaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Brucellaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Burkholderiaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Campylobacteraceae",0.26,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Carnobacteriaceae",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Cellvibrionaceae",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__CFT112H7",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Christensenellaceae",0.52,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Clostridiaceae",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Clostridiales vadinBB60 group",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Comamonadaceae",0.18,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Coriobacteriaceae",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Corynebacteriaceae",0.18,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Coxiellaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Defluviitaleaceae",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Demequinaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Desulfovibrionaceae",0.86,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Elusimicrobiaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Enterobacteriaceae",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Enterococcaceae",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__env.OPS7",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Erysipelotrichaceae",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Eubacteriaceae",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Family XI",0.96,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Family XII",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Family XIII",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Flammeovirgaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Flavobacteriaceae",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Fusobacteriaceae",0.9,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Halieaceae",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Helicobacteraceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__I-10",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Intrasporangiaceae",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Lachnospiraceae",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Lactobacillaceae",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Leptotrichiaceae",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Leuconostocaceae",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Listeriaceae",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Methylobacteriaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Methylocystaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Micrococcaceae",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Moraxellaceae",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Mycoplasmataceae",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Neisseriaceae",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Oxalobacteraceae",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Pasteurellaceae",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Peptococcaceae",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Peptostreptococcaceae",0.92,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Phyllobacteriaceae",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Planococcaceae",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Porphyromonadaceae",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Prevotellaceae",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Promicromonosporaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Pseudoalteromonadaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Pseudomonadaceae",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Rhodobacteraceae",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Rhodocyclaceae",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Rhodospirillaceae",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Rikenellaceae",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Ruminococcaceae",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Shewanellaceae",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Sphingomonadaceae",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Staphylococcaceae",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Streptococcaceae",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Succinivibrionaceae",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Synergistaceae",0.3,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Thermoanaerobacteraceae",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Veillonellaceae",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Verrucomicrobiaceae",0.54,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Vibrionaceae",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Victivallaceae",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__WCHB1-69",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Xanthomonadaceae",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"f__Xanthomonadales Incertae Sedis",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] brachy group",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] coprostanoligenes group",0.54,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] hallii group",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] nodatum group",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] oxidoreducens group",0.44,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] ruminantium group",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__[Eubacterium] ventriosum group",0.42,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Abiotrophia",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Acetanaerobacterium",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Acidaminococcus",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Acidibacter",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Acinetobacter",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Actinobacillus",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Actinomyces",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Adlercreutzia",0.26,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Aeromonas",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Aggregatibacter",0.14,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Akkermansia",0.54,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Alistipes",0.94,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Allisonella",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Allobaculum",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Alloprevotella",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerococcus",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerofilum",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaeroglobus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerostipes",0.7,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Anaerotruncus",0.62,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Arcobacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Arthrobacter",0.44,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Atopobium",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Azoarcus",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bacillus",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bacteroides",1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Barnesiella",0.46,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bergeyella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bifidobacterium",0.76,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bilophila",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Blautia",0.84,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Bradyrhizobium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Brochothrix",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Burkholderia",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyricicoccus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyricimonas",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Butyrivibrio",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Campylobacter",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Candidatus Soleaferrea",0.28,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Candidatus Stoquefichus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Carnobacterium",0.32,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catabacter",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catenibacterium",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Catonella",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cetobacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Christensenellaceae R-7 group",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cloacibacillus",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Cloacibacterium",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Clostridium",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Collinsella",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Comamonas",0.1,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprobacillus",0.06,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprobacter",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coprococcus",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Corynebacterium",0.18,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Coxiella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Curvibacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Demequina",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Desulfovibrio",0.6,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dialister",0.66,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Diaphorobacter",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dielma",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Dorea",0.74,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eggerthella",0.64,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eikenella",0.22,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eisenbergiella",0.4,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Elusimicrobium",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Enterococcus",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Enterorhabdus",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Epulopiscium",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Erysipelatoclostridium",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Escherichia-Shigella",0.98,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Eubacterium",0.24,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Exiguobacterium",0.2,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Ezakiella",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Facklamia",0.04,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Faecalibacterium",0.9,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Faecalitalea",0.16,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Family XIII AD3011 group",0.56,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fastidiosipila",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Filifactor",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Finegoldia",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Flavonifractor",0.72,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fretibacterium",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fusicatenibacter",0.48,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Fusobacterium",0.9,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gallicola",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gardnerella",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gelria",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gemella",0.7,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gemmobacter",0.02,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gilvimarinus",0,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Gordonibacter",0.12,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Granulicatella",0.68,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Haemophilus",0.58,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
"g__Hafnia",0.08,"Yongzhi_Yang","Yang Y, et al. Theranostics (2019)"
